Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Manufacturer
30,"Two pin crystal, small symbol",Crystal_Small,X1,2.5 MHz,Crystal_HC49-U_Vertical,1,http://www.ecsxtal.com/store/pdf/hc49ux.pdf,ECS-25-S-1X,ECS Inc.





Component Groups:,30
Component Count:,66
Fitted Components:,66
Number of PCBs:,1
Total components:,66
Schematic Version:,1
Schematic Date:,2018-07-27
BoM Date:,Fri 27 Jul 2018 05:08:33 PM EDT
Schematic Source:,/home/matt/mystat-master/kicad3/mystat.sch
KiCad Version:,Eeschema 5.0.0+dfsg1-1
